chunk_id,source_id,category,sub_category,topic,question,tags,source_confidence,chunk_index,chunk_total,text
1,1,Industry Overview,General,Creative Arts Legal Framework,What is the main law governing Ghana's creative industry?,"creative arts act, law, regulation, policy",High,0,1,"Category: Industry Overview | Sub-category: General | Topic: Creative Arts Legal Framework
The Creative Arts Act 2020 (Act 1048) is Ghana's landmark legal framework that regulates the creative arts industry. It established the Creative Arts Council of Ghana as the apex regulatory body and created a legal foundation for industry coordination and policy."
2,2,Industry Overview,General,GDP Contribution,How much does Ghana's creative sector contribute to GDP?,"gdp, economy, employment, youth",Medium,0,1,"Category: Industry Overview | Sub-category: General | Topic: GDP Contribution
Ghana's creative industry contributes an estimated 2–4% of GDP. Exact figures vary and should be verified with the Ghana Statistical Service. The sector is one of the top employers of youth aged 18–35 in urban areas."
3,3,Industry Overview,Key Sub-Sectors,Music,What music genres are prominent in Ghana's creative industry?,"music, highlife, hiplife, afrobeats, gospel, drill, genres",High,0,1,"Category: Industry Overview | Sub-category: Key Sub-Sectors | Topic: Music
Ghana's prominent music genres include Highlife (foundational genre from the 1920s–70s), Hiplife (Highlife + Hip-hop hybrid from the 1990s), Afrobeats (Ghana style), Gospel, Afropop/Afro-fusion, and Drill/Trap (growing urban genre)."
4,4,Industry Overview,Key Sub-Sectors,Film,What is Ghallywood?,"ghallywood, film, television, nfa, cinema",High,0,1,"Category: Industry Overview | Sub-category: Key Sub-Sectors | Topic: Film
Ghallywood is Ghana's film and television industry. It encompasses TV drama production documentary filmmaking and animation. It is regulated by the National Film Authority (NFA)."
5,5,Industry Overview,Key Sub-Sectors,Fashion,What fashion and design sectors exist in Ghana's creative industry?,"fashion, design, kente, ankara, ready-to-wear, textiles",High,0,1,"Category: Industry Overview | Sub-category: Key Sub-Sectors | Topic: Fashion
Ghana's fashion sector includes Kente weaving, Ankara fashion, and contemporary ready-to-wear. Key textile traditions include Kente (Ashanti/Ewe), Adinkra cloth (Akan), Smock/Fugu (Northern Ghana), and Batik & Tie-dye."
6,6,Industry Overview,Key Sub-Sectors,Visual Arts,Who are notable visual artists from Ghana?,"visual arts, el anatsui, ablade glover, painting, sculpture, photography",High,0,1,"Category: Industry Overview | Sub-category: Key Sub-Sectors | Topic: Visual Arts
Notable Ghanaian visual artists include El Anatsui (internationally acclaimed sculptor known for metal tapestries) and Ablade Glover (renowned painter). The visual arts sub-sector includes painting sculpture photography and printmaking."
7,7,Industry Overview,Key Sub-Sectors,Comedy,Who are prominent Ghanaian comedians?,"stand-up, skit",High,0,1,"Category: Industry Overview | Sub-category: Key Sub-Sectors | Topic: Comedy
Prominent Ghanaian comedians include DKB (Derrick Kobina Bonney), OB Amponsah, and Clemento Suarez. The comedy sub-sector includes stand-up comedy, skit-making, and theatre performance., comedy, DKB, OB Amponsah, Clemento Suarez"
8,8,Industry Overview,Key Sub-Sectors,Dance,What dance forms are part of Ghana's creative industry?,traditional dance,High,0,1,"Category: Industry Overview | Sub-category: Key Sub-Sectors | Topic: Dance
Ghana's dance sub-sector includes Azonto (popular urban dance form), Afrobeats choreography, and traditional dance forms. Notable figure: Incredible Zigi, an internationally recognized Afrobeats choreographer., dance, azonto, afrobeats, choreography, Incredible Zigi"
9,9,Industry Overview,Key Sub-Sectors,Digital Content,Who are notable Ghanaian digital content creators?,"digital content, youtube, tiktok, wode maya, kwadwo sheldon, content creation",High,0,1,"Category: Industry Overview | Sub-category: Key Sub-Sectors | Topic: Digital Content
Notable Ghanaian digital content creators include Wode Maya (travel/culture YouTube channel with 2M+ subscribers), Kwadwo Sheldon (YouTube commentary), Ama Governor (lifestyle), and KSM (satire). TikTok Ghana is the fastest-growing platform for youth creators."
10,10,Industry Overview,Creative Hubs,Accra,Why is Accra Ghana's dominant creative hub?,"accra, creative hub, studios, east legon, osu, tema",High,0,1,"Category: Industry Overview | Sub-category: Creative Hubs | Topic: Accra
Accra is Ghana's dominant creative hub for music film fashion digital content and comedy. Studios are concentrated in East Legon Osu and Tema. It hosts major industry events and most leading record labels production houses and fashion designers."
11,11,Industry Overview,Creative Hubs,Kumasi,What is Kumasi known for in Ghana's creative industry?,"kumasi, kente, bonwire, akan arts, traditional crafts",High,0,1,"Category: Industry Overview | Sub-category: Creative Hubs | Topic: Kumasi
Kumasi is known for Kente weaving (especially Bonwire village), Akan arts, visual arts, and fashion. It is Ghana's second-largest city and a major centre for traditional crafts and heritage arts."
12,12,Industry Overview,Creative Hubs,Tamale,What creative industries are strong in Tamale?,"tamale, northern arts, smock, fugu, cultural festivals, traditional",High,0,1,"Category: Industry Overview | Sub-category: Creative Hubs | Topic: Tamale
Tamale is known for Northern traditional arts smock (fugu) weaving and cultural festivals. It represents Ghana's northern creative heritage and traditional textile production."
13,13,Industry Overview,Creative Hubs,Cape Coast,What is Cape Coast's role in Ghana's creative scene?,"cape coast, heritage tourism, visual arts, academic, cultural preservation",High,0,1,"Category: Industry Overview | Sub-category: Creative Hubs | Topic: Cape Coast
Cape Coast is known for heritage tourism, visual arts, and its academic creative community. It is home to institutions that contribute to creative education and cultural preservation."
14,14,Institutions,Government,Creative Arts Council,What is the Creative Arts Council of Ghana?,"creative arts council, regulatory body, act 1048, policy, coordination",High,0,1,"Category: Institutions | Sub-category: Government | Topic: Creative Arts Council
The Creative Arts Council of Ghana is the apex regulatory body established under the Creative Arts Act 2020 (Act 1048). It oversees industry coordination and policy across all creative sub-sectors."
15,15,Institutions,Government,National Film Authority,What does the National Film Authority (NFA) do?,"national film authority, film regulation, ghallywood, distribution",High,0,1,"Category: Institutions | Sub-category: Government | Topic: National Film Authority
The National Film Authority (NFA) regulates film production distribution classification and exhibition in Ghana. It is the primary regulatory body for Ghana's film industry (Ghallywood)., NFA"
16,16,Institutions,Government,GHAMRO,What is GHAMRO?,"music rights, royalties, copyright, collective management",High,0,1,"Category: Institutions | Sub-category: Government | Topic: GHAMRO
GHAMRO (Ghana Music Rights Organisation) is Ghana's collective management organisation (CMO) for music copyright. It handles royalty collection and distribution on behalf of music rights holders., GHAMRO"
