id,category,sub_category,topic,question,answer,tags,source_confidence,context
1,Industry Overview,General,Creative Arts Legal Framework,What is the main law governing Ghana's creative industry?,The Creative Arts Act 2020 (Act 1048) is Ghana's landmark legal framework that regulates the creative arts industry. It established the Creative Arts Council of Ghana as the apex regulatory body and created a legal foundation for industry coordination and policy.,"creative arts act, law, regulation, policy",High,"Category: Industry Overview | Sub-category: General | Topic: Creative Arts Legal Framework
The Creative Arts Act 2020 (Act 1048) is Ghana's landmark legal framework that regulates the creative arts industry. It established the Creative Arts Council of Ghana as the apex regulatory body and created a legal foundation for industry coordination and policy."
2,Industry Overview,General,GDP Contribution,How much does Ghana's creative sector contribute to GDP?,Ghana's creative industry contributes an estimated 2–4% of GDP. Exact figures vary and should be verified with the Ghana Statistical Service. The sector is one of the top employers of youth aged 18–35 in urban areas.,"gdp, economy, employment, youth",Medium,"Category: Industry Overview | Sub-category: General | Topic: GDP Contribution
Ghana's creative industry contributes an estimated 2–4% of GDP. Exact figures vary and should be verified with the Ghana Statistical Service. The sector is one of the top employers of youth aged 18–35 in urban areas."
3,Industry Overview,Key Sub-Sectors,Music,What music genres are prominent in Ghana's creative industry?,"Ghana's prominent music genres include Highlife (foundational genre from the 1920s–70s), Hiplife (Highlife + Hip-hop hybrid from the 1990s), Afrobeats (Ghana style), Gospel, Afropop/Afro-fusion, and Drill/Trap (growing urban genre).","music, highlife, hiplife, afrobeats, gospel, drill, genres",High,"Category: Industry Overview | Sub-category: Key Sub-Sectors | Topic: Music
Ghana's prominent music genres include Highlife (foundational genre from the 1920s–70s), Hiplife (Highlife + Hip-hop hybrid from the 1990s), Afrobeats (Ghana style), Gospel, Afropop/Afro-fusion, and Drill/Trap (growing urban genre)."
4,Industry Overview,Key Sub-Sectors,Film,What is Ghallywood?,Ghallywood is Ghana's film and television industry. It encompasses TV drama production documentary filmmaking and animation. It is regulated by the National Film Authority (NFA).,"ghallywood, film, television, nfa, cinema",High,"Category: Industry Overview | Sub-category: Key Sub-Sectors | Topic: Film
Ghallywood is Ghana's film and television industry. It encompasses TV drama production documentary filmmaking and animation. It is regulated by the National Film Authority (NFA)."
5,Industry Overview,Key Sub-Sectors,Fashion,What fashion and design sectors exist in Ghana's creative industry?,"Ghana's fashion sector includes Kente weaving, Ankara fashion, and contemporary ready-to-wear. Key textile traditions include Kente (Ashanti/Ewe), Adinkra cloth (Akan), Smock/Fugu (Northern Ghana), and Batik & Tie-dye.","fashion, design, kente, ankara, ready-to-wear, textiles",High,"Category: Industry Overview | Sub-category: Key Sub-Sectors | Topic: Fashion
Ghana's fashion sector includes Kente weaving, Ankara fashion, and contemporary ready-to-wear. Key textile traditions include Kente (Ashanti/Ewe), Adinkra cloth (Akan), Smock/Fugu (Northern Ghana), and Batik & Tie-dye."
6,Industry Overview,Key Sub-Sectors,Visual Arts,Who are notable visual artists from Ghana?,Notable Ghanaian visual artists include El Anatsui (internationally acclaimed sculptor known for metal tapestries) and Ablade Glover (renowned painter). The visual arts sub-sector includes painting sculpture photography and printmaking.,"visual arts, el anatsui, ablade glover, painting, sculpture, photography",High,"Category: Industry Overview | Sub-category: Key Sub-Sectors | Topic: Visual Arts
Notable Ghanaian visual artists include El Anatsui (internationally acclaimed sculptor known for metal tapestries) and Ablade Glover (renowned painter). The visual arts sub-sector includes painting sculpture photography and printmaking."
7,Industry Overview,Key Sub-Sectors,Comedy,Who are prominent Ghanaian comedians?,"Prominent Ghanaian comedians include DKB (Derrick Kobina Bonney), OB Amponsah, and Clemento Suarez. The comedy sub-sector includes stand-up comedy, skit-making, and theatre performance., comedy, DKB, OB Amponsah, Clemento Suarez","stand-up, skit",High,"Category: Industry Overview | Sub-category: Key Sub-Sectors | Topic: Comedy
Prominent Ghanaian comedians include DKB (Derrick Kobina Bonney), OB Amponsah, and Clemento Suarez. The comedy sub-sector includes stand-up comedy, skit-making, and theatre performance., comedy, DKB, OB Amponsah, Clemento Suarez"
8,Industry Overview,Key Sub-Sectors,Dance,What dance forms are part of Ghana's creative industry?,"Ghana's dance sub-sector includes Azonto (popular urban dance form), Afrobeats choreography, and traditional dance forms. Notable figure: Incredible Zigi, an internationally recognized Afrobeats choreographer., dance, azonto, afrobeats, choreography, Incredible Zigi",traditional dance,High,"Category: Industry Overview | Sub-category: Key Sub-Sectors | Topic: Dance
Ghana's dance sub-sector includes Azonto (popular urban dance form), Afrobeats choreography, and traditional dance forms. Notable figure: Incredible Zigi, an internationally recognized Afrobeats choreographer., dance, azonto, afrobeats, choreography, Incredible Zigi"
9,Industry Overview,Key Sub-Sectors,Digital Content,Who are notable Ghanaian digital content creators?,"Notable Ghanaian digital content creators include Wode Maya (travel/culture YouTube channel with 2M+ subscribers), Kwadwo Sheldon (YouTube commentary), Ama Governor (lifestyle), and KSM (satire). TikTok Ghana is the fastest-growing platform for youth creators.","digital content, youtube, tiktok, wode maya, kwadwo sheldon, content creation",High,"Category: Industry Overview | Sub-category: Key Sub-Sectors | Topic: Digital Content
Notable Ghanaian digital content creators include Wode Maya (travel/culture YouTube channel with 2M+ subscribers), Kwadwo Sheldon (YouTube commentary), Ama Governor (lifestyle), and KSM (satire). TikTok Ghana is the fastest-growing platform for youth creators."
10,Industry Overview,Creative Hubs,Accra,Why is Accra Ghana's dominant creative hub?,Accra is Ghana's dominant creative hub for music film fashion digital content and comedy. Studios are concentrated in East Legon Osu and Tema. It hosts major industry events and most leading record labels production houses and fashion designers.,"accra, creative hub, studios, east legon, osu, tema",High,"Category: Industry Overview | Sub-category: Creative Hubs | Topic: Accra
Accra is Ghana's dominant creative hub for music film fashion digital content and comedy. Studios are concentrated in East Legon Osu and Tema. It hosts major industry events and most leading record labels production houses and fashion designers."
